month,q_in,q_out,q_out_real,storage,deficit,overflow
11/1959,0.871,1.834,0.871,0.0,-0.9630000000000001,0.0
12/1959,0.664,1.834,0.6640000000000001,0.0,-1.17,0.0
01/1960,1.817,1.31,1.31,0.5069999999999999,0.0,0.0
02/1960,1.457,1.048,1.048,0.9159999999999999,0.0,0.0
03/1960,4.831,0.786,0.786,4.961,0.0,0.0
04/1960,2.981,1.834,1.834,6.1080000000000005,0.0,0.0
05/1960,2.973,1.834,1.834,7.247,0.0,0.0
06/1960,1.742,2.62,2.62,6.369,0.0,0.0
07/1960,1.089,3.144,3.144,4.314,0.0,0.0
08/1960,1.278,3.668,3.668,1.924,0.0,0.0
09/1960,0.658,3.668,2.582,0.0,-1.0860000000000003,0.0
10/1960,5.106,2.62,2.62,2.4859999999999998,0.0,0.0
11/1960,3.009,1.834,1.834,3.6609999999999996,0.0,0.0
12/1960,3.668,1.834,1.834,5.494999999999999,0.0,0.0
01/1961,1.514,1.31,1.31,5.698999999999999,0.0,0.0
02/1961,5.101,1.048,1.048,9.751999999999999,0.0,0.0
03/1961,6.602,0.786,0.786,15.568,0.0,0.0
04/1961,5.793,1.834,1.834,19.527,0.0,0.0
05/1961,4.235,1.834,1.834,21.928,0.0,0.0
06/1961,5.892,2.62,4.229000000000003,23.591,0.0,1.6090000000000018
07/1961,1.931,3.144,3.144,22.378,0.0,0.0
08/1961,1.812,3.668,3.668,20.522,0.0,0.0
09/1961,1.198,3.668,3.668,18.052,0.0,0.0
10/1961,1.037,2.62,2.62,16.469,0.0,0.0
11/1961,1.06,1.834,1.834,15.695,0.0,0.0
12/1961,1.783,1.834,1.834,15.644,0.0,0.0
01/1962,3.02,1.31,1.31,17.354,0.0,0.0
02/1962,1.61,1.048,1.048,17.916,0.0,0.0
03/1962,2.481,0.786,0.786,19.611,0.0,0.0
04/1962,9.45,1.834,5.469999999999999,23.591,0.0,3.6359999999999992
05/1962,3.72,1.834,3.719999999999999,23.591,0.0,1.8859999999999992
06/1962,1.586,2.62,2.62,22.557000000000002,0.0,0.0
07/1962,1.638,3.144,3.144,21.051000000000002,0.0,0.0
08/1962,0.853,3.668,3.668,18.236,0.0,0.0
09/1962,0.837,3.668,3.668,15.405000000000001,0.0,0.0
10/1962,0.819,2.62,2.62,13.604000000000001,0.0,0.0
11/1962,1.032,1.834,1.834,12.802000000000001,0.0,0.0
12/1962,1.122,1.834,1.834,12.090000000000002,0.0,0.0
01/1963,1.05,1.31,1.31,11.830000000000002,0.0,0.0
02/1963,0.804,1.048,1.048,11.586000000000002,0.0,0.0
03/1963,3.919,0.786,0.786,14.719000000000001,0.0,0.0
04/1963,7.042,1.834,1.834,19.927,0.0,0.0
05/1963,2.252,1.834,1.834,20.345,0.0,0.0
06/1963,2.452,2.62,2.62,20.177,0.0,0.0
07/1963,1.879,3.144,3.144,18.912,0.0,0.0
08/1963,0.824,3.668,3.668,16.067999999999998,0.0,0.0
09/1963,0.596,3.668,3.668,12.995999999999999,0.0,0.0
10/1963,0.695,2.62,2.62,11.070999999999998,0.0,0.0
11/1963,0.723,1.834,1.834,9.959999999999997,0.0,0.0
12/1963,0.695,1.834,1.834,8.820999999999998,0.0,0.0
01/1964,0.658,1.31,1.31,8.168999999999999,0.0,0.0
02/1964,0.648,1.048,1.048,7.768999999999998,0.0,0.0
03/1964,2.952,0.786,0.786,9.934999999999999,0.0,0.0
04/1964,4.681,1.834,1.834,12.781999999999998,0.0,0.0
05/1964,2.551,1.834,1.834,13.498999999999999,0.0,0.0
06/1964,0.975,2.62,2.62,11.854,0.0,0.0
07/1964,0.653,3.144,3.144,9.363,0.0,0.0
08/1964,0.417,3.668,3.668,6.111999999999999,0.0,0.0
09/1964,0.482,3.668,3.668,2.9259999999999993,0.0,0.0
10/1964,0.767,2.62,2.62,1.072999999999999,0.0,0.0
11/1964,1.348,1.834,1.834,0.5869999999999991,0.0,0.0
12/1964,1.49,1.834,1.834,0.242999999999999,0.0,0.0
01/1965,1.278,1.31,1.31,0.21099999999999897,0.0,0.0
02/1965,0.837,1.048,1.047999999999999,0.0,-1.1102230246251565e-15,0.0
03/1965,5.524,0.786,0.786,4.7379999999999995,0.0,0.0
04/1965,13.237,1.834,1.834,16.141,0.0,0.0
05/1965,9.318,1.834,1.8679999999999986,23.591,0.0,0.03399999999999892
06/1965,4.44,2.62,4.440000000000001,23.591,0.0,1.8200000000000003
07/1965,1.433,3.144,3.144,21.880000000000003,0.0,0.0
08/1965,1.135,3.668,3.668,19.347,0.0,0.0
09/1965,1.571,3.668,3.668,17.25,0.0,0.0
10/1965,1.089,2.62,2.62,15.719,0.0,0.0
11/1965,1.112,1.834,1.834,14.997,0.0,0.0
12/1965,7.185,1.834,1.834,20.348,0.0,0.0
01/1966,3.535,1.31,1.31,22.573,0.0,0.0
02/1966,7.374,1.048,6.356000000000002,23.591,0.0,5.308
03/1966,4.08,0.786,4.080000000000002,23.591,0.0,3.2940000000000005
04/1966,5.581,1.834,5.5809999999999995,23.591,0.0,3.747
05/1966,3.294,1.834,3.2940000000000005,23.591,0.0,1.4600000000000009
06/1966,4.264,2.62,4.263999999999999,23.591,0.0,1.6439999999999984
07/1966,6.073,3.144,6.073,23.591,0.0,2.929000000000002
08/1966,1.312,3.668,3.668,21.235,0.0,0.0
09/1966,2.063,3.668,3.668,19.63,0.0,0.0
10/1966,1.822,2.62,2.62,18.832,0.0,0.0
11/1966,2.509,1.834,1.834,19.507,0.0,0.0
12/1966,4.469,1.834,1.834,22.142000000000003,0.0,0.0
01/1967,4.321,1.31,2.872,23.591,0.0,1.5620000000000012
02/1967,8.04,1.048,8.04,23.591,0.0,6.991999999999997
03/1967,6.773,0.786,6.773000000000003,23.591,0.0,5.987000000000002
04/1967,5.684,1.834,5.684000000000001,23.591,0.0,3.8500000000000014
05/1967,1.26,1.834,1.834,23.017,0.0,0.0
06/1967,1.169,2.62,2.62,21.566,0.0,0.0
07/1967,1.122,3.144,3.144,19.543999999999997,0.0,0.0
08/1967,1.433,3.668,3.668,17.308999999999997,0.0,0.0
09/1967,1.179,3.668,3.668,14.819999999999997,0.0,0.0
10/1967,1.273,2.62,2.62,13.472999999999997,0.0,0.0
11/1967,1.405,1.834,1.834,13.043999999999997,0.0,0.0
12/1967,5.684,1.834,1.834,16.894,0.0,0.0
01/1968,7.382,1.31,1.31,22.965999999999998,0.0,0.0
02/1968,2.693,1.048,2.067999999999998,23.591,0.0,1.019999999999996
